term_id,prefLabel@es,altLabel@es,definition@es,prefLabel@en,altLabel@en,definition@en,prefLabel@de,altLabel@de,definition@de,prefLabel@nl,altLabel@nl,definition@nl,iate_id
LT9547411,contratos en prácticas,,,,,,,,,,,,
LT5184826,conjunto,series of work,,conjunto de trabajos,"conjunto de trabajos,serie de trabajos",,Arbeitsreihenfolge,Arbeitsreihenfolge,,series werkzaamheden,series werkzaamheden,,1696638
LT5184826,conjunto,"series of work,cover pool","clearly identified, 'ring-fenced' pool of assets dedicated to securing a covered bond [ IATE:2215699 ]",conjunto de cobertura,"conjunto de trabajos,serie de trabajos,conjunto de cobertura",Activos que constituyen la garantía de los bonos garantizados [ IATE:2215699 ] y que están segregados de otros activos mantenidos por la entidad de crédito que emite los bonos garantizados.,Deckungspool,"Arbeitsreihenfolge,Deckungspool","Vermögenswerte, die als Sicherheiten für die gedeckten Schuldverschreibungen dienen und von anderen Vermögenswerten, die das Kreditinstitut, das gedeckte Schuldverschreibungen begibt, hält, getrennt sind",dekkingspool,"series werkzaamheden,dekkingspool,cover pool",activa die de zekerheid vormen voor de gedekte obligaties en die zijn afgezonderd van andere activa die worden gehouden door de kredietinstelling die gedekte obligaties uitgeeft,3524199
LT5184826,conjunto,"series of work,cover pool,EC-Mexico Joint Committee",,Comité conjunto CE-México,"conjunto de trabajos,serie de trabajos,conjunto de cobertura,Comité conjunto CE-México",,Gemischter Ausschuss EG-Mexiko,"Arbeitsreihenfolge,Deckungspool,Gemischter Ausschuss EG-Mexiko",,Gemengde Commissie EG-Mexico,"series werkzaamheden,dekkingspool,cover pool,Gemengde Commissie EG-Mexico",,2100515
LT5184826,conjunto,"series of work,cover pool,EC-Mexico Joint Committee,series of guidelines",,conjunto de orientaciones,"conjunto de trabajos,serie de trabajos,conjunto de cobertura,Comité conjunto CE-México,conjunto de orientaciones",,Reihe von Richtlinien,"Arbeitsreihenfolge,Deckungspool,Gemischter Ausschuss EG-Mexiko,Reihe von Richtlinien",,geheel van richtsnoeren,"series werkzaamheden,dekkingspool,cover pool,Gemengde Commissie EG-Mexico,geheel van richtsnoeren",,144615
LT5184826,conjunto,"series of work,cover pool,EC-Mexico Joint Committee,series of guidelines",,comité consultivo mixto,"conjunto de trabajos,serie de trabajos,conjunto de cobertura,Comité conjunto CE-México,conjunto de orientaciones,comité consultivo mixto,CCM,comité consultivo conjunto",Órgano previsto en los acuerdos de asociación entre la UE y terceros países o regiones como instancia consultiva conjunta de la sociedad civil de ambas partes en dichos acuerdos.,Gemischter Beratender Ausschuss,"Arbeitsreihenfolge,Deckungspool,Gemischter Ausschuss EG-Mexiko,Reihe von Richtlinien,Gemischter Beratender Ausschuss,GBA","Arbeitsorgan, das für die Zusammenarbeit zwischen dem Europäischen Wirtschafts- und Sozialausschuss (EWSA) und Partnern aus der organisierten Zivilgesellschaft eines Kandidatenlandes zuständig ist",gemengd raadgevend comité,"series werkzaamheden,dekkingspool,cover pool,Gemengde Commissie EG-Mexico,geheel van richtsnoeren,gemengd raadgevend comité,GRC",door een Associatieraad ingesteld orgaan dat is belast met de samenwerking tussen het Europees Economisch en Sociaal Comité en maatschappelijke organisaties in een kandidaat-lidstaat,2232926
LT6794975,cuantía,,,nivel de importancia relativa,"nivel de importancia relativa,límite de significación,límite de importancia relativa,límite de tolerancia,umbral de importancia relativa,límite de cuantía","(I) Los errores o irregularidades de los estados financieros deben considerarse globalmente importantes (significativos) cuando puedan tener consecuencias para sus destinatarios, previamente advertidos de dichos errores. El auditor debe fijar la cantidad máxima tolerable de incorrecciones que pueden tener los estados financieros para poder considerarlos erróneos pero aceptables. Esta cantidad puede denominarse ""umbral de importancia relativa"". Si los restantes elementos permanecen constantes, cuanto más alto sea el umbral, menor será la cantidad de pruebas de fiscalización necesarias. ; (II) Por ejemplo, un umbral de importancia relativa adecuado podría encontrarse entre el 0,5% y el 2% del valor que refleje adecuadamente el nivel de actividad financiera de un organismo o una entidad sometidos a fiscalización.",Wesentlichkeitsschwelle,"Wesentlichkeitsschwelle,Signifikanzschwelle,Relevanzgrenze,Toleranzschwelle","Maximum an Ungenauigkeiten, Rechtswidrigkeiten oder Unregelmäßigkeiten, die der Prüfer innerhalb einer zu prüfenden Grundgesamtheit tolerieren kann. Die Signifikanzschwelle wird vom Prüfer vorab festgesetzt und ist maßgeblich für die Größe der Stichprobe, anhand deren die Prüfungen durchgeführt werden. Je niedriger die Schwelle liegt, desto größer ist der Umfang der durchzuführenden Prüfungen",materialiteitsdrempel,"materialiteitsdrempel,foutentolerantie,drempelwaarde voor de materialiteit","(I) De gezamenlijke fouten of onrechtmatigheden in de financiële verantwoording kunnen als materieel (dat wil zeggen belangrijk) worden beschouwd als de gebruikers hiervan, wanneer zij op de fouten zijn gewezen, hiermee waarschijnlijk rekening zullen houden. De controleur moet beslissen hoe hoog het maximumbedrag van de onjuistheden in de financiële verantwoording mag zijn om nog als aanvaardbaar te kunnen worden beschouwd. Dit bedrag kan de ""materialiteitsdrempel"" worden genoemd. Bij overigens gelijke omstandigheden is er minder controlewerk noodzakelijk naarmate de drempel hoger is.",748087
LT6794975,cuantía,amount involved in the case,,cuantía del litigio,"nivel de importancia relativa,límite de significación,límite de importancia relativa,límite de tolerancia,umbral de importancia relativa,límite de cuantía,cuantía del litigio",,Streitwert,"Wesentlichkeitsschwelle,Signifikanzschwelle,Relevanzgrenze,Toleranzschwelle,Streitwert",der in Geld bemessene Wert des Streitgegenstandes,materialiteitsdrempel,"materialiteitsdrempel,foutentolerantie,drempelwaarde voor de materialiteit","(I) De gezamenlijke fouten of onrechtmatigheden in de financiële verantwoording kunnen als materieel (dat wil zeggen belangrijk) worden beschouwd als de gebruikers hiervan, wanneer zij op de fouten zijn gewezen, hiermee waarschijnlijk rekening zullen houden. De controleur moet beslissen hoe hoog het maximumbedrag van de onjuistheden in de financiële verantwoording mag zijn om nog als aanvaardbaar te kunnen worden beschouwd. Dit bedrag kan de ""materialiteitsdrempel"" worden genoemd. Bij overigens gelijke omstandigheden is er minder controlewerk noodzakelijk naarmate de drempel hoger is.",1124038
LT6794975,cuantía,amount involved in the case,,negocios de cuantía,"nivel de importancia relativa,límite de significación,límite de importancia relativa,límite de tolerancia,umbral de importancia relativa,límite de cuantía,cuantía del litigio,negocios de cuantía",,Streitwert,"Wesentlichkeitsschwelle,Signifikanzschwelle,Relevanzgrenze,Toleranzschwelle,Streitwert",der in Geld bemessene Wert des Streitgegenstandes,materialiteitsdrempel,"materialiteitsdrempel,foutentolerantie,drempelwaarde voor de materialiteit","(I) De gezamenlijke fouten of onrechtmatigheden in de financiële verantwoording kunnen als materieel (dat wil zeggen belangrijk) worden beschouwd als de gebruikers hiervan, wanneer zij op de fouten zijn gewezen, hiermee waarschijnlijk rekening zullen houden. De controleur moet beslissen hoe hoog het maximumbedrag van de onjuistheden in de financiële verantwoording mag zijn om nog als aanvaardbaar te kunnen worden beschouwd. Dit bedrag kan de ""materialiteitsdrempel"" worden genoemd. Bij overigens gelijke omstandigheden is er minder controlewerk noodzakelijk naarmate de drempel hoger is.",1234992
LT6794975,cuantía,"amount involved in the case,small claims procedure",Legal procedure intended to allow individuals to recover small amounts of money owing to them without incurring excessive legal costs.,juicio de menor cuantía,"nivel de importancia relativa,límite de significación,límite de importancia relativa,límite de tolerancia,umbral de importancia relativa,límite de cuantía,cuantía del litigio,negocios de cuantía,juicio de menor cuantía","""El declarativo, intermedio entre el de mayor cuantía y el verbal.""",Bagatellverfahren,"Wesentlichkeitsschwelle,Signifikanzschwelle,Relevanzgrenze,Toleranzschwelle,Streitwert,Bagatellverfahren,Verfahren in Bagatellsachen","(zivilrechtliches) Verfahren in einem Rechtsstreit mit geringer (finanzieller) Bedeutung (= Bagatellsache), wobei die Abgrenzung i.d.R. über den Streitwert erfolgt",procedure voor geringe vorderingen,"materialiteitsdrempel,foutentolerantie,drempelwaarde voor de materialiteit,procedure voor geringe vorderingen",,768928
