AC electromagnetic yoke
AC magnetisation
ALTERATION OF Container
ALTERNATIVE Method
ANALYTICAL Buckling
APPROVAL REQUEST Form
Absolute damping
Acceptability criteria
Acceptable clusters of discontinuity
Acceptance Criteria
Acceptance level
Adaptive frame
Adjustment of shear force
Aft End
Alloyed case
Alteration of container
Alternating stress
Alternative method
Analysis
Analysis Criteria
Analysis criteria
Analysis of Stiffened
Analytical Model
Angle beam
Angle compression wave
Angle probe
Angle profile
Applicable load scenario
Applicable rule edition
Application factor
Approval of condition
Approval request form
Approval with respect
Archer coefficient
Argument of summation
Aspect ratio
Assessments of Stiffened
Associated limit
Astern torque coefficient
Automatic action
Automatic isolation
Automatic release
Average axial strain
Average frame spacing
Axial force
Axial load
Axial stress
Axial stress in rod
BCH Code
BUCKLING Capacity
BUCKLING OF Plate
Baltic ice
Baltic ice classis
Base circle
Basic Calibration block
Basic equation
Basic principle
Basic viewpoint
Beam Examination
Beam analysis
Beam column
Beam element
Bending moment
Bending moment coefficient
Berechnung von
Bevel
Bevel gear
Bevel gear conversion formula
Bevel gear factor
Bigger diameter
Blade
Blade bolt
Blade failure design
Blade failure load
Blade flange
Blade root
Blade tip
Bottom grillage model
Boundary condition
Boundary constraint
Boundary element method
Boundary support
Brinell hardness
Buckling
Buckling Analysis
Buckling Analysis of Shell
Buckling Model
Buckling checks flow
Buckling curve
Buckling design
Buckling factor
Buckling failure
Buckling method
Buckling mode
Buckling of Bar
Buckling panel
Buckling stiffener
Buckling strength
Buckling strength assessment
Buckling utilisation factor
Bulb profile
Bulk temperature
Butt weld
CALCULATION OF Fatigue
CALCULATION OF Pinion
CALCULATION OF Stress
CALCULATION OF Surface
CBM action
CFM calculation
CHANGES –
CLASS Guideline
CLOSED Form
CM arrangement
CM equipment
CM method
CM program
CM related task
CM system
CM system approval
CM task
CODE OF Container
COMPONENT Certification
CONCENTRATION Factor
CRANK TRAIN Bearing
CRITERIA FOR Propeller
CROSS Tie
CRT screen
CSR Pt
CSR rule
CYCLE STRESSES IN Propeller
Calculated steady state
Calculation
Calculation example
Calculation method
Calculation of GZ
Calculation of alternating
Calculation of fatigue
Calculation of gear rating
Calculation of marine
Calculation of surface
Calculation of tank
Calculation of tooth
Calculation principle
Calculation procedure
Calibration
Calibration block
Calibration procedure
Camber correction factor
Carbon steel
Cargo
Cargo compatibility
Cargo hold
Cargo ship
Cargo tank
Cargo vapour recovery
Case depth factor
Casualty scenario
Casualty threshold
Cell guide
Centre distance
Centrifugal stress
Certificate of compliance
Change of pitch
Characteristic buckling resistance
Characteristics curve
Cij coefficient
Circ
Clad welding
Class guideline
Class notation
Class of quality
Classification based on performance
Classification of Ship
Classification of radiographic technique
Clear warning in case
Closed Form Method
Coarse mesh
Coating Thickness Measurement
Coating material
Coating thickness
Coating thickness measurement
Coefficient of friction
Cold deformation
Colour contrast penetrant
Column buckling
Combined Load
Compartment definition
Compartments with altered permeability
Competent crew member
Component Influence
Component Influence Factor
Component certification
Component influence
Computerized Buckling
Condition monitoring
Condition monitoring method
Condition monitoring process
Condition monitoring program
Condition monitoring system
Conductive coating
Confidence interval
Contact ratio factor
Contact ratio factor Y_
Container
Container securing
Container ship
Containers stack
Continuous beam
Continuous monitoring
Contractual shock level
Control device
Controllable pitch
Cooling liquid system
Corner post compression
Corner post force
Correction factor
Correction of shear
Corrective action
Corrosion Deduction
Corrosion addition
Corrugated bulkhead
Coupling medium
Crank dimension
