prefLabel@en,term_id,broader_uri,broader_id,prefLabel@en,prefLabel@es,prefLabel@de,prefLabel@nl
prefLabel@en,term_id,broader_uri,LT4520275,brprefLabel@en,brprefLabel@es,brprefLabel@de,brprefLabel@nl
Ambient,LT5277766,,LT2323575,,,,
Aquifer,LT6613990,,LT2323575,,,,
Back to Top,LT6472810,,LT2323575,,,,
Baseload Plants,LT1475683,,LT2323575,,,,
Binary-Cycle Plant,LT7960500,,LT2323575,,,,
Brine,LT7227682,,LT2323575,,,,
BTU,LT4715737,,LT2323575,,,,
Cap Rocks,LT8795025,,LT2323575,,,,
Cascading Heat,LT1366900,,LT2323575,,,,
Condensate,LT2417679,,LT2323575,,,,
Condenser,LT2286835,,LT2323575,,,,
Cooling Tower,LT7695111,,LT2323575,,,,
Crust,LT1725623,,LT2323575,,,,
Direct Use,LT7314600,,LT2323575,,,,
District Heating,LT3364843,,LT2323575,,,,
Drilling,LT8216696,,LT2323575,,,,
Dry Steam,LT3678624,,LT2323575,,,,
Efficiency,LT7637738,,LT2323575,,,,
Enhanced Geothermal Systems,LT7530900,,LT2323575,,,,
Fault,LT5327676,,LT2323575,,,,
Flash Steam,LT2465445,,LT2323575,,,,
Fumarole,LT2452828,,LT2323575,,,,
Back to Top,LT6472810,,LT2323575,,,,
Geology,LT9569794,,LT2323575,,,,
Geothermal,LT3785169,,LT2323575,,,,
Geothermal Energy,LT5833038,,LT2323575,,,,
Geothermal Gradient,LT5601680,,LT2323575,,,,
Geothermal Heat Pumps,LT3145029,,LT2323575,,,,
Geyser,LT4817088,,LT2323575,,,,
HDR,LT7684165,,LT2323575,,,,
Heat Exchanger,LT7339420,,LT2323575,,,,
Heat Flow,LT9694298,,LT2323575,,,,
Hydrothermal Resource,LT9864454,,LT2323575,,,,
Injection,LT1828411,,LT2323575,,,,
KGRA,LT2380981,,LT2323575,,,,
Kilowatt,LT4026904,,LT2323575,,,,
Kilowatt-Hour,LT4469908,,LT2323575,,,,
Load,LT1256538,,LT2323575,,,,
Magma,LT5716271,,LT2323575,,,,
Mantle,LT4774875,,LT2323575,,,,
Multiplier Effect,LT8247151,,LT2323575,,,,
Peaking Plants,LT2877727,,LT2323575,,,,
Permeability,LT9993895,,LT2323575,,,,
Plate Tectonics,LT1310978,,LT2323575,,,,
Porosity,LT8543295,,LT2323575,,,,
Reservoir,LT2927822,,LT2323575,,,,
Salinity,LT1726293,,LT2323575,,,,
Subsidence,LT4741480,,LT2323575,,,,
TDS,LT8379632,,LT2323575,,,,
Thermal Gradient,LT6863843,,LT2323575,,,,
Transmission Line,LT4748520,,LT2323575,,,,
Turbine,LT2636989,http://eurovoc.europa.eu/1718,LT6462535,machinery,máquina,Maschine,machine
Vapor-Dominated,LT3339420,,LT2323575,,,,
Well Logging,LT9310072,,LT2323575,,,,
