prefLabel@en,term_id,broader_uri,broader_id,prefLabel@en,prefLabel@es,prefLabel@de,prefLabel@nl
prefLabel@en,term_id,broader_uri,LT3105271,brprefLabel@en,brprefLabel@es,brprefLabel@de,brprefLabel@nl
Ambient,LT5277766,,LT5598531,,,,
Aquifer,LT6613990,,LT5598531,,,,
Back to Top,LT6472810,,LT5598531,,,,
Baseload Plants,LT1475683,,LT5598531,,,,
Binary-Cycle Plant,LT7960500,,LT5598531,,,,
Brine,LT7227682,,LT5598531,,,,
BTU,LT4715737,,LT5598531,,,,
Cap Rocks,LT8795025,,LT5598531,,,,
Cascading Heat,LT1366900,,LT5598531,,,,
Condensate,LT2417679,,LT5598531,,,,
Condenser,LT2286835,,LT5598531,,,,
Cooling Tower,LT7695111,,LT5598531,,,,
Crust,LT1725623,,LT5598531,,,,
Direct Use,LT7314600,,LT5598531,,,,
District Heating,LT3364843,,LT5598531,,,,
Drilling,LT8216696,,LT5598531,,,,
Dry Steam,LT3678624,,LT5598531,,,,
Efficiency,LT7637738,,LT5598531,,,,
Enhanced Geothermal Systems,LT7530900,,LT5598531,,,,
Fault,LT5327676,,LT5598531,,,,
Flash Steam,LT2465445,,LT5598531,,,,
Fumarole,LT2452828,,LT5598531,,,,
Back to Top,LT6472810,,LT5598531,,,,
Geology,LT9569794,,LT5598531,,,,
Geothermal,LT3785169,,LT5598531,,,,
Geothermal Energy,LT5833038,,LT5598531,,,,
Geothermal Gradient,LT5601680,,LT5598531,,,,
Geothermal Heat Pumps,LT3145029,,LT5598531,,,,
Geyser,LT4817088,,LT5598531,,,,
HDR,LT7684165,,LT5598531,,,,
Heat Exchanger,LT7339420,,LT5598531,,,,
Heat Flow,LT9694298,,LT5598531,,,,
Hydrothermal Resource,LT9864454,,LT5598531,,,,
Injection,LT1828411,,LT5598531,,,,
KGRA,LT2380981,,LT5598531,,,,
Kilowatt,LT4026904,,LT5598531,,,,
Kilowatt-Hour,LT4469908,,LT5598531,,,,
Load,LT1256538,,LT5598531,,,,
Magma,LT5716271,,LT5598531,,,,
Mantle,LT4774875,,LT5598531,,,,
Multiplier Effect,LT8247151,,LT5598531,,,,
Peaking Plants,LT2877727,,LT5598531,,,,
Permeability,LT9993895,,LT5598531,,,,
Plate Tectonics,LT1310978,,LT5598531,,,,
Porosity,LT8543295,,LT5598531,,,,
Reservoir,LT2927822,,LT5598531,,,,
Salinity,LT1726293,,LT5598531,,,,
Subsidence,LT4741480,,LT5598531,,,,
TDS,LT8379632,,LT5598531,,,,
Thermal Gradient,LT6863843,,LT5598531,,,,
Transmission Line,LT4748520,,LT5598531,,,,
Turbine,LT2636989,,LT5598531,,,,
Vapor-Dominated,LT3339420,,LT5598531,,,,
Well Logging,LT9310072,,LT5598531,,,,
