prefLabel@en,term_id,broader_uri,broader_id,prefLabel@en,prefLabel@es,prefLabel@de,prefLabel@nl
prefLabel@en,term_id,broader_uri,LT8748384,brprefLabel@en,brprefLabel@es,brprefLabel@de,brprefLabel@nl
Ambient,LT5277766,,LT4403553,,,,
Aquifer,LT6613990,,LT4403553,,,,
Back to Top,LT6472810,,LT4403553,,,,
Baseload Plants,LT1475683,,LT4403553,,,,
Binary-Cycle Plant,LT7960500,,LT4403553,,,,
Brine,LT7227682,,LT4403553,,,,
BTU,LT4715737,,LT4403553,,,,
Cap Rocks,LT8795025,,LT4403553,,,,
Cascading Heat,LT1366900,,LT4403553,,,,
Condensate,LT2417679,,LT4403553,,,,
Condenser,LT2286835,,LT4403553,,,,
Cooling Tower,LT7695111,,LT4403553,,,,
Crust,LT1725623,,LT4403553,,,,
Direct Use,LT7314600,,LT4403553,,,,
District Heating,LT3364843,,LT4403553,,,,
Drilling,LT8216696,,LT4403553,,,,
Dry Steam,LT3678624,,LT4403553,,,,
Efficiency,LT7637738,,LT4403553,,,,
Enhanced Geothermal Systems,LT7530900,,LT4403553,,,,
Fault,LT5327676,,LT4403553,,,,
Flash Steam,LT2465445,,LT4403553,,,,
Fumarole,LT2452828,,LT4403553,,,,
Back to Top,LT6472810,,LT4403553,,,,
Geology,LT9569794,,LT4403553,,,,
Geothermal,LT3785169,,LT4403553,,,,
Geothermal Energy,LT5833038,,LT4403553,,,,
Geothermal Gradient,LT5601680,,LT4403553,,,,
Geothermal Heat Pumps,LT3145029,,LT4403553,,,,
Geyser,LT4817088,,LT4403553,,,,
HDR,LT7684165,,LT4403553,,,,
Heat Exchanger,LT7339420,,LT4403553,,,,
Heat Flow,LT9694298,,LT4403553,,,,
Hydrothermal Resource,LT9864454,,LT4403553,,,,
Injection,LT1828411,,LT4403553,,,,
KGRA,LT2380981,,LT4403553,,,,
Kilowatt,LT4026904,,LT4403553,,,,
Kilowatt-Hour,LT4469908,,LT4403553,,,,
Load,LT1256538,,LT4403553,,,,
Magma,LT5716271,,LT4403553,,,,
Mantle,LT4774875,,LT4403553,,,,
Multiplier Effect,LT8247151,,LT4403553,,,,
Peaking Plants,LT2877727,,LT4403553,,,,
Permeability,LT9993895,,LT4403553,,,,
Plate Tectonics,LT1310978,,LT4403553,,,,
Porosity,LT8543295,,LT4403553,,,,
Reservoir,LT2927822,,LT4403553,,,,
Salinity,LT1726293,,LT4403553,,,,
Subsidence,LT4741480,,LT4403553,,,,
TDS,LT8379632,,LT4403553,,,,
Thermal Gradient,LT6863843,,LT4403553,,,,
Transmission Line,LT4748520,,LT4403553,,,,
Turbine,LT2636989,,LT4403553,,,,
Vapor-Dominated,LT3339420,,LT4403553,,,,
Well Logging,LT9310072,,LT4403553,,,,
