term_id,broader_uri,broader_id,brprefLabel@en,brprefLabel@es,brprefLabel@de,brprefLabel@nl
LT9547411,,,,,,
LT5184826,,,,,,
LT6794975,,,,,,
LT1964302,,,,,,
LT3876976,http://eurovoc.europa.eu/965,LT6643179,family,familia,Familie,gezin
LT3785765,,,,,,
LT7897260,,,,,,
LT7180286,,,,,,
LT7805701,,,,,,
LT7759089,,,,,,
LT8273335,,,,,,
LT2631818,,,,,,
LT8946593,,,,,,
LT5879042,,,,,,
LT1638672,,,,,,
LT7007542,,,,,,
LT4771146,,,,,,
LT9303537,,,,,,
LT2187127,,,,,,
LT8834335,,,,,,
LT9832428,,,,,,
LT5014869,http://eurovoc.europa.eu/3193,LT4382556,goods and services,bienes y servicios,Güter und Dienstleistungen,goederen en diensten
LT6189078,,,,,,
LT7769135,,,,,,
LT6227251,,,,,,
LT6450813,,,,,,
LT3481858,,,,,,
LT2216494,,,,,,
LT1635643,,,,,,
LT3637683,,,,,,
LT3077813,,,,,,
LT2133798,,,,,,
LT9750329,,,,,,
LT7387343,,,,,,
LT6243478,,,,,,
LT4458080,http://eurovoc.europa.eu/2246,LT3344292,Member of Parliament,parlamentario,Parlamentarier,afgevaardigde
LT5060530,http://eurovoc.europa.eu/523,LT7961098,civil law,Derecho civil,Bürgerliches Recht,burgerlijk recht
LT4677020,,,,,,
LT1684815,,,,,,
LT6637458,,,,,,
LT4171078,,,,,,
LT3132273,,,,,,
LT4450619,,,,,,
LT3771326,,,,,,
LT8401855,http://eurovoc.europa.eu/5275,LT1753092,socioprofessional category,categoría socioprofesional,sozioprofessionelle Gruppe,sociaalprofessionele categorie
LT8366041,http://eurovoc.europa.eu/1721,LT2477000,costeffectiveness analysis,análisis de costeeficacia,KostenWirksamkeitsAnalyse,kostenefficiëntieanalyse
LT7177597,,,,,,
LT1676882,,,,,,
LT7614134,,,,,,
LT7454367,,,,,,
LT3003675,,,,,,
LT3426194,http://eurovoc.europa.eu/1155,LT5997792,management accounting,gestión contable,betriebliches Rechnungswesen,financiële administratie
LT3240381,,,,,,
LT4221240,,,,,,
LT1202575,,,,,,
LT2905535,,,,,,
LT3837932,,,,,,
LT7262861,,,,,,
LT4461744,,,,,,
LT1840202,http://eurovoc.europa.eu/2184,LT9778917,organisation of work,organización del trabajo,Arbeitsorganisation,organisatie van het werk
LT7491944,,,,,,
LT1242452,,,,,,
LT4901785,,,,,,
LT7591246,,,,,,
LT2025305,,,,,,
LT8784262,,,,,,
LT5581692,,,,,,
LT3362744,,,,,,
LT4034473,,,,,,
LT6437187,,,,,,
LT3323076,,,,,,
LT6232363,http://eurovoc.europa.eu/69,LT4116709,economic concentration,concentración económica,Konzentration wirtschaftlicher Macht,economische concentratie
LT9063186,,,,,,
LT1957461,,,,,,
LT8129335,,,,,,
LT3658903,,,,,,
LT7234067,http://eurovoc.europa.eu/540,LT8054754,family law,Derecho de familia,Familienrecht,familierecht
LT8586110,,,,,,
LT4267774,,,,,,
LT5704006,,,,,,
LT3512686,http://eurovoc.europa.eu/3300,LT7223201,geographical distribution of the population,distribución geográfica de la población,geografische Verteilung der Bevölkerung,geografische spreiding van de bevolking
LT8755051,,,,,,
LT2224553,,,,,,
LT5699566,,,,,,
LT7718398,http://eurovoc.europa.eu/3273,LT1660281,remuneration of work,remuneración del trabajo,Arbeitsentgelt,arbeidsbezoldiging
LT2356501,http://eurovoc.europa.eu/3099,LT1958015,regulation,reglamento administrativo,Verordnung,verordening
LT7958974,http://eurovoc.europa.eu/3497,LT4258300,liability,responsabilidad,Haftung,aansprakelijkheid
LT6064887,,,,,,
LT8453073,,,,,,
LT3053590,,,,,,
LT2032631,,,,,,
LT2299470,,,,,,
LT8214347,,,,,,
LT6793771,,,,,,
LT9922488,,,,,,
LT1212542,http://eurovoc.europa.eu/4300,LT2553190,company structure,estructura de la empresa,Unternehmensstruktur,structuur van de onderneming
LT2874478,,,,,,
LT8870920,,,,,,
LT8583076,,,,,,
LT8972464,,,,,,
LT3706485,,,,,,
LT9462745,,,,,,
LT5395896,,,,,,
LT7724837,,,,,,
LT2060746,http://eurovoc.europa.eu/5475,LT9548027,professional career,carrera profesional,beruflicher Werdegang,beroepsloopbaan
LT5334936,,,,,,
LT3395636,,,,,,
LT7224319,,,,,,
LT7131119,,,,,,
LT9270872,,,,,,
LT8100885,,,,,,
LT1674405,,,,,,
LT4774324,,,,,,
LT5038916,,,,,,
LT9038222,,,,,,
LT1754977,,,,,,
LT3872930,,,,,,
LT5240224,,,,,,
LT2640911,,,,,,
LT4010883,,,,,,
LT6789370,,,,,,
LT7866347,,,,,,
LT9992926,,,,,,
LT2862245,,,,,,
LT7100654,,,,,,
LT9150395,,,,,,
LT8697970,,,,,,
LT5158010,,,,,,
LT2936021,,,,,,
LT1326668,,,,,,
LT2891248,http://eurovoc.europa.eu/3062,LT1700525,executive body,Ejecutivo,Exekutive,uitvoerende macht
LT1983633,,,,,,
LT7386735,,,,,,
LT9597339,,,,,,
LT4597310,,,,,,
LT8557019,,,,,,
LT5360851,,,,,,
LT6889687,,,,,,
LT6580041,http://eurovoc.europa.eu/164,LT3962008,contract,contrato,Vertrag des bürgerlichen Rechts,contract
LT4824561,,,,,,
LT2415114,,,,,,
LT6309124,,,,,,
LT1047862,,,,,,
LT5311733,,,,,,
LT6401590,,,,,,
LT7054042,,,,,,
LT8721898,,,,,,
LT7274678,,,,,,
LT1652398,,,,,,
LT2737246,,,,,,
LT9279334,,,,,,
LT2562616,,,,,,
LT8759682,,,,,,
LT5898833,,,,,,
LT4597083,,,,,,
LT8863503,,,,,,
LT1248796,,,,,,
LT4660310,,,,,,
LT3939996,,,,,,
LT1259799,,,,,,
LT1958942,,,,,,
LT8875927,,,,,,
LT3825531,http://eurovoc.europa.eu/2469,LT4177050,business policy,política de la empresa,Unternehmenspolitik,ondernemingsbeleid
LT8033667,,,,,,
LT1650094,,,,,,
