term_id,narrower_uri,narrower_id,naprefLabel@en,naprefLabel@es,naprefLabel@de,naprefLabel@nl
LT9547411,,,,,,
LT5184826,,,,,,
LT6794975,,,,,,
LT1964302,http://eurovoc.europa.eu/377,LT6794409,consumer demand,demanda de consumo,Verbrauchernachfrage,consumptieve vraag
LT3876976,,,,,,
LT3785765,,,,,,
LT7897260,,,,,,
LT7180286,,,,,,
LT7805701,,,,,,
LT7759089,,,,,,
LT8273335,,,,,,
LT2631818,,,,,,
LT8946593,,,,,,
LT5879042,,,,,,
LT1638672,,,,,,
LT7007542,,,,,,
LT4771146,,,,,,
LT9303537,,,,,,
LT2187127,,,,,,
LT8834335,,,,,,
LT9832428,,,,,,
LT5014869,http://eurovoc.europa.eu/4131,LT2406597,payable service,servicio remunerado,Dienstleistung gegen Entgelt,betaalde diensten
LT6189078,,,,,,
LT7769135,,,,,,
LT6227251,,,,,,
LT6450813,,,,,,
LT3481858,,,,,,
LT2216494,,,,,,
LT1635643,,,,,,
LT3637683,,,,,,
LT3077813,,,,,,
LT2133798,,,,,,
LT9750329,,,,,,
LT7387343,,,,,,
LT6243478,,,,,,
LT4458080,,,,,,
LT5060530,http://eurovoc.europa.eu/c_471a61cf,LT9683483,digital contract,contrato digital,digitaler Vertrag,digitaal contract
LT4677020,,,,,,
LT1684815,,,,,,
LT6637458,,,,,,
LT4171078,,,,,,
LT3132273,,,,,,
LT4450619,,,,,,
LT3771326,,,,,,
LT8401855,,,,,,
LT8366041,,,,,,
LT7177597,,,,,,
LT1676882,,,,,,
LT7614134,,,,,,
LT7454367,,,,,,
LT3003675,,,,,,
LT3426194,http://eurovoc.europa.eu/6210,LT7304770,deadline for payment,plazo del pago,Zahlungsfrist,betalingstermijn
LT3240381,,,,,,
LT4221240,,,,,,
LT1202575,,,,,,
LT2905535,,,,,,
LT3837932,,,,,,
LT7262861,,,,,,
LT4461744,,,,,,
LT1840202,http://eurovoc.europa.eu/3548,LT6685807,Sunday working,trabajo dominical,Sonntagsarbeit,zondagswerk
LT7491944,,,,,,
LT1242452,,,,,,
LT4901785,,,,,,
LT7591246,,,,,,
LT2025305,,,,,,
LT8784262,,,,,,
LT5581692,,,,,,
LT3362744,,,,,,
LT4034473,,,,,,
LT6437187,,,,,,
LT3323076,,,,,,
LT6232363,http://eurovoc.europa.eu/999,LT5592882,joint subsidiary,filial común,gemeinsame Tochtergesellschaft,gemeenschappelijke dochteronderneming
LT9063186,,,,,,
LT1957461,,,,,,
LT8129335,,,,,,
LT3658903,,,,,,
LT7234067,http://eurovoc.europa.eu/6534,LT7175924,international adoption,adopción internacional,internationale Adoption,internationale adoptie
LT8586110,,,,,,
LT4267774,,,,,,
LT5704006,,,,,,
LT3512686,http://eurovoc.europa.eu/3464,LT2166208,secondary residence,residencia secundaria,zweiter Wohnsitz,tweede woning
LT8755051,http://eurovoc.europa.eu/836,LT1493722,compulsory saving,ahorro forzoso,Zwangssparen,gedwongen sparen
LT2224553,,,,,,
LT5699566,,,,,,
LT7718398,http://eurovoc.europa.eu/3845,LT7110325,piece work pay,salario por rendimiento,Leistungslohn,prestatieloon
LT2356501,,,,,,
LT7958974,,,,,,
LT6064887,,,,,,
LT8453073,,,,,,
LT3053590,,,,,,
LT2032631,,,,,,
LT2299470,,,,,,
LT8214347,,,,,,
LT6793771,,,,,,
LT9922488,,,,,,
LT1212542,,,,,,
LT2874478,,,,,,
LT8870920,,,,,,
LT8583076,,,,,,
LT8972464,,,,,,
LT3706485,,,,,,
LT9462745,,,,,,
LT5395896,,,,,,
LT7724837,,,,,,
LT2060746,,,,,,
LT5334936,,,,,,
LT3395636,,,,,,
LT7224319,,,,,,
LT7131119,,,,,,
LT9270872,,,,,,
LT8100885,,,,,,
LT1674405,,,,,,
LT4774324,,,,,,
LT5038916,,,,,,
LT9038222,,,,,,
LT1754977,,,,,,
LT3872930,,,,,,
LT5240224,,,,,,
LT2640911,,,,,,
LT4010883,,,,,,
LT6789370,,,,,,
LT7866347,,,,,,
LT9992926,,,,,,
LT2862245,,,,,,
LT7100654,,,,,,
LT9150395,,,,,,
LT8697970,,,,,,
LT5158010,,,,,,
LT2936021,,,,,,
LT1326668,,,,,,
LT2891248,http://eurovoc.europa.eu/1939,LT1679454,minister,ministro,Minister,minister
LT1983633,,,,,,
LT7386735,,,,,,
LT9597339,,,,,,
LT4597310,,,,,,
LT8557019,,,,,,
LT5360851,,,,,,
LT6889687,,,,,,
LT6580041,http://eurovoc.europa.eu/3942,LT7687335,financial solvency,solvencia,Zahlungsfähigkeit,financiële solvabiliteit
LT4824561,,,,,,
LT2415114,,,,,,
LT6309124,,,,,,
LT1047862,,,,,,
LT5311733,,,,,,
LT6401590,,,,,,
LT7054042,,,,,,
LT8721898,,,,,,
LT7274678,,,,,,
LT1652398,,,,,,
LT2737246,,,,,,
LT9279334,,,,,,
LT2562616,,,,,,
LT8759682,,,,,,
LT5898833,,,,,,
LT4597083,,,,,,
LT8863503,,,,,,
LT1248796,,,,,,
LT4660310,,,,,,
LT3939996,,,,,,
LT1259799,,,,,,
LT1958942,,,,,,
LT8875927,,,,,,
LT3825531,,,,,,
LT8033667,,,,,,
LT1650094,,,,,,
LT5981638,http://eurovoc.europa.eu/5711,LT6630934,organic law,ley orgánica,Organisationsgesetz,organieke wet
LT6702477,,,,,,
LT6970916,,,,,,
LT1945987,,,,,,
LT2414531,http://eurovoc.europa.eu/6754,LT3687109,reintegration enterprise,empresa de inserción,Eingliederungsunternehmen,integratiebedrijf
LT5414695,,,,,,
LT1952881,,,,,,
LT2291123,,,,,,
LT6656776,http://eurovoc.europa.eu/c_25ddd844,LT6461807,comic book,cómic,Comicheft,strip
LT4969079,,,,,,
LT9579331,,,,,,
LT5394194,,,,,,
LT9991225,,,,,,
LT1960198,,,,,,
LT8411955,,,,,,
LT5940217,http://eurovoc.europa.eu/2721,LT8637178,world production,producción mundial,Weltproduktion,wereldproductie
LT6448128,,,,,,
