term_id,related_uri,related_id,reprefLabel@en,reprefLabel@es,reprefLabel@de,reprefLabel@nl
LT9547411,,,,,,
LT5184826,,,,,,
LT6794975,,,,,,
LT1964302,http://eurovoc.europa.eu/1321,LT6825383,tax on consumption,impuesto sobre el consumo,Verbrauchssteuer,verbruiksbelasting
LT3876976,http://eurovoc.europa.eu/103,LT6201648,maternity leave,baja por maternidad,Mutterschaftsurlaub,zwangerschapsverlof
LT3785765,,,,,,
LT7897260,,,,,,
LT7180286,,,,,,
LT7805701,,,,,,
LT7759089,,,,,,
LT8273335,,,,,,
LT2631818,,,,,,
LT8946593,,,,,,
LT5879042,,,,,,
LT1638672,,,,,,
LT7007542,,,,,,
LT4771146,,,,,,
LT9303537,,,,,,
LT2187127,,,,,,
LT8834335,,,,,,
LT9832428,,,,,,
LT5014869,http://eurovoc.europa.eu/4021,LT4769798,tertiary sector,sector terciario,tertiärer Sektor,tertiaire sector
LT6189078,,,,,,
LT7769135,,,,,,
LT6227251,,,,,,
LT6450813,,,,,,
LT3481858,,,,,,
LT2216494,,,,,,
LT1635643,,,,,,
LT3637683,,,,,,
LT3077813,,,,,,
LT2133798,,,,,,
LT9750329,,,,,,
LT7387343,,,,,,
LT6243478,,,,,,
LT4458080,,,,,,
LT5060530,http://eurovoc.europa.eu/c_e5dbcb63,LT7448310,consumer law,Derecho de los consumidores,Verbraucherrecht,consumentenrecht
LT4677020,,,,,,
LT1684815,,,,,,
LT6637458,,,,,,
LT4171078,,,,,,
LT3132273,,,,,,
LT4450619,,,,,,
LT3771326,,,,,,
LT8401855,http://eurovoc.europa.eu/734,LT5965730,public service employee,empleado de servicios públicos,Angestellter der öffentlichen Versorgungsbetriebe,werknemer in overheidsdienst
LT8366041,http://eurovoc.europa.eu/c_ab46334d,LT8170554,value chain,cadena de valor,Wertschöpfungskette,waardeketen
LT7177597,,,,,,
LT1676882,,,,,,
LT7614134,,,,,,
LT7454367,,,,,,
LT3003675,,,,,,
LT3426194,http://eurovoc.europa.eu/4491,LT2065213,financial transaction,transacción financiera,Kapitaltransaktion,financiële transactie
LT3240381,,,,,,
LT4221240,,,,,,
LT1202575,,,,,,
LT2905535,,,,,,
LT3837932,,,,,,
LT7262861,,,,,,
LT4461744,,,,,,
LT1840202,http://eurovoc.europa.eu/3116,LT5630896,driving period,duración de la conducción,Lenkzeit,rijtijd
LT7491944,,,,,,
LT1242452,,,,,,
LT4901785,,,,,,
LT7591246,,,,,,
LT2025305,,,,,,
LT8784262,,,,,,
LT5581692,,,,,,
LT3362744,,,,,,
LT4034473,,,,,,
LT6437187,,,,,,
LT3323076,,,,,,
LT6232363,http://eurovoc.europa.eu/4201,LT5085989,undisclosed partnership,sociedad en participación,stille Gesellschaft,participatiemaatschappij
LT9063186,,,,,,
LT1957461,,,,,,
LT8129335,,,,,,
LT3658903,,,,,,
LT7234067,http://eurovoc.europa.eu/3302,LT6310160,adopted child,hijo adoptivo,adoptiertes Kind,aangenomen kind
LT8586110,,,,,,
LT4267774,,,,,,
LT5704006,,,,,,
LT3512686,http://eurovoc.europa.eu/3940,LT5820598,legal domicile,domicilio legal,gesetzlicher Wohnsitz,domicilie
LT8755051,http://eurovoc.europa.eu/2490,LT4820412,incomes policy,política de rentas,Einkommenspolitik,inkomensbeleid
LT2224553,,,,,,
LT5699566,,,,,,
LT7718398,http://eurovoc.europa.eu/1330,LT5035489,tax on employment income,impuesto sobre los salarios,Lohnsummensteuer,loonbelasting
LT2356501,http://eurovoc.europa.eu/349,LT4607706,decision (EU),decisión (UE),Beschluss (EU),besluit (EU)
LT7958974,http://eurovoc.europa.eu/5412,LT6927930,associated action for damages,acción por responsabilidad civil,Zivilklage,burgerlijk geding
LT6064887,,,,,,
LT8453073,,,,,,
LT3053590,,,,,,
LT2032631,,,,,,
LT2299470,,,,,,
LT8214347,,,,,,
LT6793771,,,,,,
LT9922488,,,,,,
LT1212542,http://eurovoc.europa.eu/6749,LT1178898,entrepreneurship,emprendimiento,Unternehmergeist,ondernemingsgeest
LT2874478,,,,,,
LT8870920,,,,,,
LT8583076,,,,,,
LT8972464,,,,,,
LT3706485,,,,,,
LT9462745,,,,,,
LT5395896,,,,,,
LT7724837,,,,,,
LT2060746,,,,,,
LT5334936,,,,,,
LT3395636,,,,,,
LT7224319,,,,,,
LT7131119,,,,,,
LT9270872,,,,,,
LT8100885,,,,,,
LT1674405,,,,,,
LT4774324,,,,,,
LT5038916,,,,,,
LT9038222,,,,,,
LT1754977,,,,,,
LT3872930,,,,,,
LT5240224,,,,,,
LT2640911,,,,,,
LT4010883,,,,,,
LT6789370,,,,,,
LT7866347,,,,,,
LT9992926,,,,,,
LT2862245,,,,,,
LT7100654,,,,,,
LT9150395,,,,,,
LT8697970,,,,,,
LT5158010,,,,,,
LT2936021,,,,,,
LT1326668,,,,,,
LT2891248,http://eurovoc.europa.eu/3260,LT4313820,cabinet reshuffle,reajuste ministerial,Regierungsumbildung,kabinetswijziging
LT1983633,,,,,,
LT7386735,,,,,,
LT9597339,,,,,,
LT4597310,,,,,,
LT8557019,,,,,,
LT5360851,,,,,,
LT6889687,,,,,,
LT6580041,,,,,,
LT4824561,,,,,,
LT2415114,,,,,,
LT6309124,,,,,,
LT1047862,,,,,,
LT5311733,,,,,,
LT6401590,,,,,,
LT7054042,,,,,,
LT8721898,,,,,,
LT7274678,,,,,,
LT1652398,,,,,,
LT2737246,,,,,,
LT9279334,,,,,,
LT2562616,,,,,,
LT8759682,,,,,,
LT5898833,,,,,,
LT4597083,,,,,,
LT8863503,,,,,,
LT1248796,,,,,,
LT4660310,,,,,,
LT3939996,,,,,,
LT1259799,,,,,,
LT1958942,,,,,,
LT8875927,http://eurovoc.europa.eu/3708,LT5400371,International Labour Office,Oficina Internacional del Trabajo,Internationales Arbeitsamt,Internationaal Arbeidsbureau
